SubtypeId,DisplayName,MaxRangeMeters,DPS,SourceWorkshopID,Notes
15Cm55TwinCasemate,15 cm/55 SK C/28 Casemate,4500,10000,2844434226,"twin, 2 barrels"
6Inch50Casemate,"6""/50 Mark 10 Casemate",4500,6250,2844434226,Primary ammo FA6InchAPShell
6InchMark13Casemate,"6""/53 Mark 13 Casemate",4500,6250,2844434226,Primary ammo FA6InchAPShell
152mm55NRF,152 mm/55 Model 1930,4500,12366.67,2844434226,Primary ammo FA152mmShell
152mm55RF,152 mm/55 Model 1930 RF,4500,12366.67,2844434226,Primary ammo FA152mmShell
152mmMLE1936,152 mm/55 Model 1936,4500,12366.67,2844434226,Primary ammo FA152mmShell
15cmSk28,15 cm/55 SK C/28 RF,4000,4000,2844434226,Primary ammo FA15CmCaShell
15cmSk28NRF,15 cm/55 SK C/28,4000,4000,2844434226,Primary ammo FA15CmCaShell
203mm50MLE,203 mm/55 Model 1931 RF,5000,8480,2844434226,Primary ammo FA203mmShell
203mm50NRF,203 mm/55 Model 1931,5000,8480,2844434226,Primary ammo FA203mmShell
6InchMain,"6""/47 MK 16",4000,16666.67,2844434226,Primary ammo FA6InchShell
8Inch55Main,"8""/55 Mark 9",4000,16666.67,2844434226,Primary ammo FA8InchShell
8Inch55RF,"8""/55 RF Mark 16",4000,16666.67,2844434226,Primary ammo FA8InchShell
FA6Inch53Mark18,"6""/53 Mark 16",4000,33333.33,2844434226,"twin, 2 barrels"
FA6InchDPMark16,"6""/47 DP Mark 16",4000,33333.33,2844434226,"twin, 2 barrels"
Ger203mm,20.3 cm/60 C/34,5000,8480,2844434226,Primary ammo FA203mmShellGer
OTO152mm55,OTO 152 mm/55 model 1936,4500,14133.33,2844434226,Primary ammo FA152mmShellOTO
OTO203mm53Model1929,203mm /53 Model 1929,5000,20000,2844434226,"twin, 2 barrels; primary ammo FA203mmShell_IT"
Spainish203mmTwin,"8""/50 BL Model 1942",4000,33333.33,2844434226,"twin, 2 barrels; primary ammo FA8InchShell"
105mmTwin,10.5 cm SK C/33,3800,2000,2844434226,"twin, 2 barrels"
127mm54MLE1948,127mm /54 Model 1948,4000,2500,2844434226,"twin, 2 barrels; primary ammo FA_FR_5InchShell"
128C34Main,12.7Cm SK C/34,4000,2083.33,2844434226,"twin, 2 barrels"
128mmL45Main,12.7Cm L/45,4000,1250,2844434226,
12cm45Mark8,12 Cm /45 Mark 8,4000,500,2844434226,"twin, 2 barrels; low BaseDamage (100) ammo relative to caliber"
138mmMain,138.6mm/40 MLE 1927,4000,1500,2844434226,
15cmKCMain,15 cm/48 Tbts KC/36,4000,5000,2844434226,Primary ammo FA15CmShell
15cmTwinMain,15 cm/48 Tbts KC/36 Twin,4000,9333.33,2844434226,"twin, 2 barrels; primary ammo FA15CmShell"
4_5Inch45,"4.5""/45 QF Mark II",4000,2500,2844434226,"twin, 2 barrels"
4_7InchMain,4.7 Inch Mk XII,4000,2500,2844434226,"twin, 2 barrels"
5Inch38Twin,"5""/38 Mark 32",4000,2500,2844434226,"twin, 2 barrels; primary ammo FA5InchShell"
5Inch41Twin,"5""/54 Mark 41",4000,2500,2844434226,"twin, 2 barrels; primary ammo FA5InchShell"
5Inch54Main,"5""/54 Mark 16",4000,1250,2844434226,Primary ammo FA5InchShell
5InchMk30Main,"5""/38 Mark 30",4000,1250,2844434226,Primary ammo FA5InchShell
5InchSingleMain,"5""/38 Mark 12",4000,1250,2844434226,Primary ammo FA5InchShell
FA90mmOTO,90 mm/50 OTO Model 1939 Single Mount,3800,750,2844434226,
FA90mmOTOTwin,90 mm/50 OTO Model 1939 Twin Mount,3800,1500,2844434226,"twin, 2 barrels"
BoforStaticGun,40 mm/56 Bofors Static,4000,1333.33,2844434226,
CAP_40mmAircraftCannon,40mm Aircraft Cannon,Unlimited (MaxTargetDistance=0),375,2881339118,"MaxTargetDistance=0 in weapon def (0 = unlimited per WC convention). Primary ammo CAP_40mmAPRound (BaseDamage 150), RateOfFire 150, BarrelsPerShot 1."
CAP_57AircraftCannon,57mm Aircraft Cannon,Unlimited (MaxTargetDistance=0),30,2881339118,"MaxTargetDistance=0 in weapon def (0 = unlimited per WC convention). Primary ammo CAP_57mmHERound (BaseDamage 15), RateOfFire 120, BarrelsPerShot 1."
CAP_75AircraftCannon,75mm Aircraft Cannon PLACEHOLDER,Unlimited (MaxTargetDistance=0),5,2881339118,"DisplayName still says PLACEHOLDER in the mod's own data. MaxTargetDistance=0 (unlimited). Primary ammo CAP_75mmHERound (BaseDamage 15), RateOfFire 20, BarrelsPerShot 1."
